date,store_id,sku_id,sales_units,unit_price,is_promotion,is_weekend,lead_time_days,is_stockout_day,dayofweek,month,dayofyear,lag_1d,lag_7d,lag_14d,rolling_mean_7d,rolling_std_7d
2024-01-15,Store-Central-02,SKU-APPAREL-03,104,102.04,0,0,3,0,0,1,15,0.0,81.0,75.0,66.71428571428571,46.53570058107463
2024-01-16,Store-Central-02,SKU-APPAREL-03,79,102.04,0,0,3,0,1,1,16,104.0,0.0,77.0,70.0,48.48367422820457
2024-01-17,Store-Central-02,SKU-APPAREL-03,73,102.04,0,0,3,0,2,1,17,79.0,92.0,88.0,81.28571428571429,37.40193526951197
2024-01-18,Store-Central-02,SKU-APPAREL-03,80,102.04,0,0,3,0,3,1,18,73.0,84.0,78.0,78.57142857142857,37.183585728370105
2024-01-19,Store-Central-02,SKU-APPAREL-03,87,102.04,0,0,3,0,4,1,19,80.0,102.0,157.0,78.0,37.11693234450643
2024-01-20,Store-Central-02,SKU-APPAREL-03,90,102.04,0,1,3,0,5,1,20,87.0,108.0,195.0,75.85714285714286,35.91391824640588
2024-01-21,Store-Central-02,SKU-APPAREL-03,198,86.73,1,1,3,0,6,1,21,90.0,0.0,94.0,73.28571428571429,33.811804081386974
2024-01-22,Store-Central-02,SKU-APPAREL-03,79,102.04,0,0,3,0,0,1,22,198.0,104.0,81.0,101.57142857142857,43.66866589389217
2024-01-23,Store-Central-02,SKU-APPAREL-03,86,102.04,0,0,3,0,1,1,23,79.0,79.0,0.0,98.0,44.45222154178574
2024-01-24,Store-Central-02,SKU-APPAREL-03,101,102.04,0,0,3,0,2,1,24,86.0,73.0,92.0,99.0,44.030292602555654
2024-01-25,Store-Central-02,SKU-APPAREL-03,84,102.04,0,0,3,0,3,1,25,101.0,80.0,84.0,103.0,42.5205832509386
2024-01-26,Store-Central-02,SKU-APPAREL-03,97,102.04,0,0,3,0,4,1,26,84.0,87.0,102.0,103.57142857142857,42.185531259177566
2024-01-27,Store-Central-02,SKU-APPAREL-03,108,102.04,0,1,3,0,5,1,27,97.0,90.0,108.0,105.0,41.697322056298376
2024-01-28,Store-Central-02,SKU-APPAREL-03,224,86.73,1,1,3,0,6,1,28,108.0,198.0,0.0,107.57142857142857,41.16979937954982
2024-01-29,Store-Central-02,SKU-APPAREL-03,87,102.04,0,0,3,0,0,1,29,224.0,79.0,104.0,111.28571428571429,50.74680379332372
2024-01-30,Store-Central-02,SKU-APPAREL-03,87,102.04,0,0,3,0,1,1,30,87.0,86.0,79.0,112.42857142857143,49.98285420307362
2024-01-31,Store-Central-02,SKU-APPAREL-03,80,102.04,0,0,3,0,2,1,31,87.0,101.0,73.0,112.57142857142857,49.896082487696845
2024-02-01,Store-Central-02,SKU-APPAREL-03,94,102.04,0,0,3,0,3,2,32,80.0,84.0,80.0,109.57142857142857,51.31879818954306
2024-02-02,Store-Central-02,SKU-APPAREL-03,94,102.04,0,0,3,0,4,2,33,94.0,97.0,87.0,111.0,50.622788017519014
2024-02-03,Store-Central-02,SKU-APPAREL-03,231,86.73,1,1,3,0,5,2,34,94.0,108.0,90.0,110.57142857142857,50.77354016564515
2024-02-04,Store-Central-02,SKU-APPAREL-03,125,102.04,0,1,3,0,6,2,35,231.0,224.0,198.0,128.14285714285714,68.07209063786364
2024-02-05,Store-Central-02,SKU-APPAREL-03,100,102.04,0,0,3,0,0,2,36,125.0,87.0,79.0,114.0,53.57860269423482
2024-02-06,Store-Central-02,SKU-APPAREL-03,90,102.04,0,0,3,0,1,2,37,100.0,87.0,86.0,115.85714285714286,52.70492883791348
2024-02-07,Store-Central-02,SKU-APPAREL-03,97,102.04,0,0,3,0,2,2,38,90.0,80.0,101.0,116.28571428571429,52.44271250839429
2024-02-08,Store-Central-02,SKU-APPAREL-03,96,102.04,0,0,3,0,3,2,39,97.0,94.0,84.0,118.71428571428571,50.85179212087575
2024-02-09,Store-Central-02,SKU-APPAREL-03,112,102.04,0,0,3,0,4,2,40,96.0,94.0,97.0,119.0,50.6951674225463
2024-02-10,Store-Central-02,SKU-APPAREL-03,120,102.04,0,1,3,0,5,2,41,112.0,231.0,108.0,121.57142857142857,49.661712760291636
2024-02-11,Store-Central-02,SKU-APPAREL-03,117,102.04,0,1,3,0,6,2,42,120.0,125.0,224.0,105.71428571428571,13.325592991361699
2024-02-12,Store-Central-02,SKU-APPAREL-03,110,102.04,0,0,3,0,0,2,43,117.0,100.0,87.0,104.57142857142857,11.63123872533419
2024-02-13,Store-Central-02,SKU-APPAREL-03,107,102.04,0,0,3,0,1,2,44,110.0,90.0,87.0,106.0,11.590225767142448
2024-02-14,Store-Central-02,SKU-APPAREL-03,96,102.04,0,0,3,0,2,2,45,107.0,97.0,80.0,108.42857142857143,9.216961590045836
2024-02-15,Store-Central-02,SKU-APPAREL-03,89,102.04,0,0,3,0,3,2,46,96.0,96.0,94.0,108.28571428571429,9.428932172031
2024-02-16,Store-Central-02,SKU-APPAREL-03,0,102.04,0,0,3,1,4,2,47,89.0,112.0,94.0,107.28571428571429,11.161157134071178
2024-02-17,Store-Central-02,SKU-APPAREL-03,141,102.04,0,1,3,0,5,2,48,0.0,120.0,231.0,91.28571428571429,41.72015614270192
2024-02-18,Store-Central-02,SKU-APPAREL-03,152,102.04,0,1,3,0,6,2,49,141.0,117.0,125.0,94.28571428571429,44.772440502740395
2024-02-19,Store-Central-02,SKU-APPAREL-03,102,102.04,0,0,3,0,0,2,50,152.0,110.0,100.0,99.28571428571429,49.44260742084127
2024-02-20,Store-Central-02,SKU-APPAREL-03,97,102.04,0,0,3,0,1,2,51,102.0,107.0,90.0,98.14285714285714,49.24573948214055
2024-02-21,Store-Central-02,SKU-APPAREL-03,93,102.04,0,0,3,0,2,2,52,97.0,96.0,97.0,96.71428571428571,49.09078082394659
2024-02-22,Store-Central-02,SKU-APPAREL-03,115,102.04,0,0,3,0,3,2,53,93.0,89.0,96.0,96.28571428571429,49.1111470228986
2024-02-23,Store-Central-02,SKU-APPAREL-03,91,102.04,0,0,3,0,4,2,54,115.0,0.0,112.0,100.0,49.450311761740515
2024-02-24,Store-Central-02,SKU-APPAREL-03,168,102.04,0,1,3,0,5,2,55,91.0,141.0,120.0,113.0,24.392621835300904
2024-02-25,Store-Central-02,SKU-APPAREL-03,123,102.04,0,1,3,0,6,2,56,168.0,152.0,117.0,116.85714285714286,30.840604033365743
2024-02-26,Store-Central-02,SKU-APPAREL-03,114,102.04,0,0,3,0,0,2,57,123.0,102.0,110.0,112.71428571428571,27.04757712941082
2024-02-27,Store-Central-02,SKU-APPAREL-03,106,102.04,0,0,3,0,1,2,58,114.0,97.0,107.0,114.42857142857143,26.632418483602137
2024-02-28,Store-Central-02,SKU-APPAREL-03,117,102.04,0,0,3,0,2,2,59,106.0,93.0,96.0,115.71428571428571,25.85674822114001
2024-02-29,Store-Central-02,SKU-APPAREL-03,122,102.04,0,0,3,0,3,2,60,117.0,115.0,89.0,119.14285714285714,23.856715137312076
2024-03-01,Store-Central-02,SKU-APPAREL-03,94,102.04,0,0,3,0,4,3,61,122.0,91.0,0.0,120.14285714285714,23.800760291977827
2024-03-02,Store-Central-02,SKU-APPAREL-03,141,102.04,0,1,3,0,5,3,62,94.0,168.0,141.0,120.57142857142857,23.208167691979597
2024-03-03,Store-Central-02,SKU-APPAREL-03,112,102.04,0,1,3,0,6,3,63,141.0,123.0,152.0,116.71428571428571,14.69369803367281
2024-03-04,Store-Central-02,SKU-APPAREL-03,85,102.04,0,0,3,0,0,3,64,112.0,114.0,102.0,115.14285714285714,14.496304947911918
2024-03-05,Store-Central-02,SKU-APPAREL-03,110,102.04,0,0,3,0,1,3,65,85.0,106.0,97.0,111.0,18.47520861406799
2024-03-06,Store-Central-02,SKU-APPAREL-03,121,102.04,0,0,3,0,2,3,66,110.0,117.0,93.0,111.57142857142857,18.35626271745912
2024-03-07,Store-Central-02,SKU-APPAREL-03,0,102.04,0,0,3,1,3,3,67,121.0,122.0,115.0,112.14285714285714,18.6138709159645
2024-03-08,Store-Central-02,SKU-APPAREL-03,108,102.04,0,0,3,0,4,3,68,0.0,94.0,91.0,94.71428571428571,45.51818056452566
2024-03-09,Store-Central-02,SKU-APPAREL-03,156,102.04,0,1,3,0,5,3,69,108.0,141.0,168.0,96.71428571428571,45.78833288700767
2024-03-10,Store-Central-02,SKU-APPAREL-03,134,102.04,0,1,3,0,6,3,70,156.0,112.0,123.0,98.85714285714286,48.4782720106942
2024-03-11,Store-Central-02,SKU-APPAREL-03,113,102.04,0,0,3,0,0,3,71,134.0,85.0,114.0,102.0,50.15642198828248
2024-03-12,Store-Central-02,SKU-APPAREL-03,126,102.04,0,0,3,0,1,3,72,113.0,110.0,106.0,106.0,49.68903299521937
2024-03-13,Store-Central-02,SKU-APPAREL-03,110,102.04,0,0,3,0,2,3,73,126.0,121.0,117.0,108.28571428571429,50.268327621920754
