date,store_id,sku_id,sales_units,unit_price,is_promotion,is_weekend,lead_time_days,is_stockout_day
2024-01-01,Store-North-01,SKU-ELECTRONICS-01,61,114.83,0,0,4,0
2024-01-02,Store-North-01,SKU-ELECTRONICS-01,55,114.83,0,0,4,0
2024-01-03,Store-North-01,SKU-ELECTRONICS-01,0,97.6,1,0,4,1
2024-01-04,Store-North-01,SKU-ELECTRONICS-01,108,97.6,1,0,4,0
2024-01-05,Store-North-01,SKU-ELECTRONICS-01,53,114.83,0,0,4,0
2024-01-06,Store-North-01,SKU-ELECTRONICS-01,93,114.83,0,1,4,0
2024-01-07,Store-North-01,SKU-ELECTRONICS-01,173,97.6,1,1,4,0
2024-01-08,Store-North-01,SKU-ELECTRONICS-01,101,97.6,1,0,4,0
2024-01-09,Store-North-01,SKU-ELECTRONICS-01,70,114.83,0,0,4,0
2024-01-10,Store-North-01,SKU-ELECTRONICS-01,68,114.83,0,0,4,0
2024-01-11,Store-North-01,SKU-ELECTRONICS-01,61,114.83,0,0,4,0
2024-01-12,Store-North-01,SKU-ELECTRONICS-01,58,114.83,0,0,4,0
2024-01-13,Store-North-01,SKU-ELECTRONICS-01,95,114.83,0,1,4,0
2024-01-14,Store-North-01,SKU-ELECTRONICS-01,79,114.83,0,1,4,0
2024-01-15,Store-North-01,SKU-ELECTRONICS-01,112,97.6,1,0,4,0
2024-01-16,Store-North-01,SKU-ELECTRONICS-01,104,97.6,1,0,4,0
2024-01-17,Store-North-01,SKU-ELECTRONICS-01,78,114.83,0,0,4,0
2024-01-18,Store-North-01,SKU-ELECTRONICS-01,63,114.83,0,0,4,0
2024-01-19,Store-North-01,SKU-ELECTRONICS-01,69,114.83,0,0,4,0
2024-01-20,Store-North-01,SKU-ELECTRONICS-01,85,114.83,0,1,4,0
2024-01-21,Store-North-01,SKU-ELECTRONICS-01,81,114.83,0,1,4,0
2024-01-22,Store-North-01,SKU-ELECTRONICS-01,54,114.83,0,0,4,0
2024-01-23,Store-North-01,SKU-ELECTRONICS-01,66,114.83,0,0,4,0
2024-01-24,Store-North-01,SKU-ELECTRONICS-01,69,114.83,0,0,4,0
2024-01-25,Store-North-01,SKU-ELECTRONICS-01,69,114.83,0,0,4,0
2024-01-26,Store-North-01,SKU-ELECTRONICS-01,62,114.83,0,0,4,0
2024-01-27,Store-North-01,SKU-ELECTRONICS-01,89,114.83,0,1,4,0
2024-01-28,Store-North-01,SKU-ELECTRONICS-01,88,114.83,0,1,4,0
2024-01-29,Store-North-01,SKU-ELECTRONICS-01,63,114.83,0,0,4,0
2024-01-30,Store-North-01,SKU-ELECTRONICS-01,73,114.83,0,0,4,0
2024-01-31,Store-North-01,SKU-ELECTRONICS-01,62,114.83,0,0,4,0
2024-02-01,Store-North-01,SKU-ELECTRONICS-01,116,97.6,1,0,4,0
2024-02-02,Store-North-01,SKU-ELECTRONICS-01,68,114.83,0,0,4,0
2024-02-03,Store-North-01,SKU-ELECTRONICS-01,100,114.83,0,1,4,0
2024-02-04,Store-North-01,SKU-ELECTRONICS-01,98,114.83,0,1,4,0
2024-02-05,Store-North-01,SKU-ELECTRONICS-01,79,114.83,0,0,4,0
2024-02-06,Store-North-01,SKU-ELECTRONICS-01,80,114.83,0,0,4,0
2024-02-07,Store-North-01,SKU-ELECTRONICS-01,76,114.83,0,0,4,0
2024-02-08,Store-North-01,SKU-ELECTRONICS-01,77,114.83,0,0,4,0
2024-02-09,Store-North-01,SKU-ELECTRONICS-01,153,97.6,1,0,4,0
2024-02-10,Store-North-01,SKU-ELECTRONICS-01,103,114.83,0,1,4,0
2024-02-11,Store-North-01,SKU-ELECTRONICS-01,104,114.83,0,1,4,0
2024-02-12,Store-North-01,SKU-ELECTRONICS-01,74,114.83,0,0,4,0
2024-02-13,Store-North-01,SKU-ELECTRONICS-01,75,114.83,0,0,4,0
2024-02-14,Store-North-01,SKU-ELECTRONICS-01,79,114.83,0,0,4,0
2024-02-15,Store-North-01,SKU-ELECTRONICS-01,91,114.83,0,0,4,0
2024-02-16,Store-North-01,SKU-ELECTRONICS-01,71,114.83,0,0,4,0
2024-02-17,Store-North-01,SKU-ELECTRONICS-01,95,114.83,0,1,4,0
2024-02-18,Store-North-01,SKU-ELECTRONICS-01,91,114.83,0,1,4,0
2024-02-19,Store-North-01,SKU-ELECTRONICS-01,72,114.83,0,0,4,0
2024-02-20,Store-North-01,SKU-ELECTRONICS-01,77,114.83,0,0,4,0
2024-02-21,Store-North-01,SKU-ELECTRONICS-01,76,114.83,0,0,4,0
2024-02-22,Store-North-01,SKU-ELECTRONICS-01,80,114.83,0,0,4,0
2024-02-23,Store-North-01,SKU-ELECTRONICS-01,77,114.83,0,0,4,0
2024-02-24,Store-North-01,SKU-ELECTRONICS-01,179,97.6,1,1,4,0
2024-02-25,Store-North-01,SKU-ELECTRONICS-01,100,114.83,0,1,4,0
2024-02-26,Store-North-01,SKU-ELECTRONICS-01,62,114.83,0,0,4,0
2024-02-27,Store-North-01,SKU-ELECTRONICS-01,78,114.83,0,0,4,0
2024-02-28,Store-North-01,SKU-ELECTRONICS-01,95,114.83,0,0,4,0
2024-02-29,Store-North-01,SKU-ELECTRONICS-01,75,114.83,0,0,4,0
2024-03-01,Store-North-01,SKU-ELECTRONICS-01,90,114.83,0,0,4,0
2024-03-02,Store-North-01,SKU-ELECTRONICS-01,101,114.83,0,1,4,0
2024-03-03,Store-North-01,SKU-ELECTRONICS-01,90,114.83,0,1,4,0
2024-03-04,Store-North-01,SKU-ELECTRONICS-01,64,114.83,0,0,4,0
2024-03-05,Store-North-01,SKU-ELECTRONICS-01,79,114.83,0,0,4,0
2024-03-06,Store-North-01,SKU-ELECTRONICS-01,0,114.83,0,0,4,1
2024-03-07,Store-North-01,SKU-ELECTRONICS-01,82,114.83,0,0,4,0
2024-03-08,Store-North-01,SKU-ELECTRONICS-01,106,114.83,0,0,4,0
2024-03-09,Store-North-01,SKU-ELECTRONICS-01,107,114.83,0,1,4,0
2024-03-10,Store-North-01,SKU-ELECTRONICS-01,84,114.83,0,1,4,0
2024-03-11,Store-North-01,SKU-ELECTRONICS-01,75,114.83,0,0,4,0
2024-03-12,Store-North-01,SKU-ELECTRONICS-01,87,114.83,0,0,4,0
2024-03-13,Store-North-01,SKU-ELECTRONICS-01,75,114.83,0,0,4,0
2024-03-14,Store-North-01,SKU-ELECTRONICS-01,87,114.83,0,0,4,0
2024-03-15,Store-North-01,SKU-ELECTRONICS-01,89,114.83,0,0,4,0
2024-03-16,Store-North-01,SKU-ELECTRONICS-01,98,114.83,0,1,4,0
2024-03-17,Store-North-01,SKU-ELECTRONICS-01,188,97.6,1,1,4,0
2024-03-18,Store-North-01,SKU-ELECTRONICS-01,80,114.83,0,0,4,0
2024-03-19,Store-North-01,SKU-ELECTRONICS-01,142,97.6,1,0,4,0
2024-03-20,Store-North-01,SKU-ELECTRONICS-01,85,114.83,0,0,4,0
2024-03-21,Store-North-01,SKU-ELECTRONICS-01,88,114.83,0,0,4,0
2024-03-22,Store-North-01,SKU-ELECTRONICS-01,73,114.83,0,0,4,0
2024-03-23,Store-North-01,SKU-ELECTRONICS-01,126,114.83,0,1,4,0
2024-03-24,Store-North-01,SKU-ELECTRONICS-01,0,114.83,0,1,4,1
2024-03-25,Store-North-01,SKU-ELECTRONICS-01,81,114.83,0,0,4,0
2024-03-26,Store-North-01,SKU-ELECTRONICS-01,81,114.83,0,0,4,0
2024-03-27,Store-North-01,SKU-ELECTRONICS-01,0,114.83,0,0,4,1
2024-03-28,Store-North-01,SKU-ELECTRONICS-01,84,114.83,0,0,4,0
2024-03-29,Store-North-01,SKU-ELECTRONICS-01,74,114.83,0,0,4,0
2024-03-30,Store-North-01,SKU-ELECTRONICS-01,118,114.83,0,1,4,0
2024-03-31,Store-North-01,SKU-ELECTRONICS-01,108,114.83,0,1,4,0
2024-04-01,Store-North-01,SKU-ELECTRONICS-01,84,114.83,0,0,4,0
2024-04-02,Store-North-01,SKU-ELECTRONICS-01,151,97.6,1,0,4,0
2024-04-03,Store-North-01,SKU-ELECTRONICS-01,87,114.83,0,0,4,0
2024-04-04,Store-North-01,SKU-ELECTRONICS-01,89,114.83,0,0,4,0
2024-04-05,Store-North-01,SKU-ELECTRONICS-01,68,114.83,0,0,4,0
2024-04-06,Store-North-01,SKU-ELECTRONICS-01,130,114.83,0,1,4,0
2024-04-07,Store-North-01,SKU-ELECTRONICS-01,109,114.83,0,1,4,0
2024-04-08,Store-North-01,SKU-ELECTRONICS-01,88,114.83,0,0,4,0
2024-04-09,Store-North-01,SKU-ELECTRONICS-01,101,114.83,0,0,4,0
2024-04-10,Store-North-01,SKU-ELECTRONICS-01,84,114.83,0,0,4,0
2024-04-11,Store-North-01,SKU-ELECTRONICS-01,94,114.83,0,0,4,0
2024-04-12,Store-North-01,SKU-ELECTRONICS-01,81,114.83,0,0,4,0
2024-04-13,Store-North-01,SKU-ELECTRONICS-01,128,114.83,0,1,4,0
2024-04-14,Store-North-01,SKU-ELECTRONICS-01,110,114.83,0,1,4,0
2024-04-15,Store-North-01,SKU-ELECTRONICS-01,160,97.6,1,0,4,0
2024-04-16,Store-North-01,SKU-ELECTRONICS-01,90,114.83,0,0,4,0
2024-04-17,Store-North-01,SKU-ELECTRONICS-01,105,114.83,0,0,4,0
2024-04-18,Store-North-01,SKU-ELECTRONICS-01,146,97.6,1,0,4,0
2024-04-19,Store-North-01,SKU-ELECTRONICS-01,94,114.83,0,0,4,0
2024-04-20,Store-North-01,SKU-ELECTRONICS-01,148,114.83,0,1,4,0
2024-04-21,Store-North-01,SKU-ELECTRONICS-01,209,97.6,1,1,4,0
2024-04-22,Store-North-01,SKU-ELECTRONICS-01,81,114.83,0,0,4,0
2024-04-23,Store-North-01,SKU-ELECTRONICS-01,88,114.83,0,0,4,0
2024-04-24,Store-North-01,SKU-ELECTRONICS-01,92,114.83,0,0,4,0
2024-04-25,Store-North-01,SKU-ELECTRONICS-01,186,97.6,1,0,4,0
2024-04-26,Store-North-01,SKU-ELECTRONICS-01,91,114.83,0,0,4,0
2024-04-27,Store-North-01,SKU-ELECTRONICS-01,116,114.83,0,1,4,0
2024-04-28,Store-North-01,SKU-ELECTRONICS-01,0,114.83,0,1,4,1
2024-04-29,Store-North-01,SKU-ELECTRONICS-01,95,114.83,0,0,4,0
2024-04-30,Store-North-01,SKU-ELECTRONICS-01,92,114.83,0,0,4,0
2024-05-01,Store-North-01,SKU-ELECTRONICS-01,82,114.83,0,0,4,0
2024-05-02,Store-North-01,SKU-ELECTRONICS-01,97,114.83,0,0,4,0
2024-05-03,Store-North-01,SKU-ELECTRONICS-01,161,97.6,1,0,4,0
2024-05-04,Store-North-01,SKU-ELECTRONICS-01,103,114.83,0,1,4,0
2024-05-05,Store-North-01,SKU-ELECTRONICS-01,118,114.83,0,1,4,0
2024-05-06,Store-North-01,SKU-ELECTRONICS-01,104,114.83,0,0,4,0
2024-05-07,Store-North-01,SKU-ELECTRONICS-01,93,114.83,0,0,4,0
2024-05-08,Store-North-01,SKU-ELECTRONICS-01,90,114.83,0,0,4,0
2024-05-09,Store-North-01,SKU-ELECTRONICS-01,90,114.83,0,0,4,0
2024-05-10,Store-North-01,SKU-ELECTRONICS-01,100,114.83,0,0,4,0
2024-05-11,Store-North-01,SKU-ELECTRONICS-01,221,97.6,1,1,4,0
2024-05-12,Store-North-01,SKU-ELECTRONICS-01,115,114.83,0,1,4,0
2024-05-13,Store-North-01,SKU-ELECTRONICS-01,86,114.83,0,0,4,0
2024-05-14,Store-North-01,SKU-ELECTRONICS-01,86,114.83,0,0,4,0
2024-05-15,Store-North-01,SKU-ELECTRONICS-01,91,114.83,0,0,4,0
2024-05-16,Store-North-01,SKU-ELECTRONICS-01,84,114.83,0,0,4,0
2024-05-17,Store-North-01,SKU-ELECTRONICS-01,84,114.83,0,0,4,0
2024-05-18,Store-North-01,SKU-ELECTRONICS-01,113,114.83,0,1,4,0
2024-05-19,Store-North-01,SKU-ELECTRONICS-01,119,114.83,0,1,4,0
2024-05-20,Store-North-01,SKU-ELECTRONICS-01,175,97.6,1,0,4,0
2024-05-21,Store-North-01,SKU-ELECTRONICS-01,89,114.83,0,0,4,0
2024-05-22,Store-North-01,SKU-ELECTRONICS-01,89,114.83,0,0,4,0
2024-05-23,Store-North-01,SKU-ELECTRONICS-01,76,114.83,0,0,4,0
2024-05-24,Store-North-01,SKU-ELECTRONICS-01,83,114.83,0,0,4,0
2024-05-25,Store-North-01,SKU-ELECTRONICS-01,107,114.83,0,1,4,0
2024-05-26,Store-North-01,SKU-ELECTRONICS-01,214,97.6,1,1,4,0
2024-05-27,Store-North-01,SKU-ELECTRONICS-01,83,114.83,0,0,4,0
2024-05-28,Store-North-01,SKU-ELECTRONICS-01,94,114.83,0,0,4,0
2024-05-29,Store-North-01,SKU-ELECTRONICS-01,83,114.83,0,0,4,0
2024-05-30,Store-North-01,SKU-ELECTRONICS-01,79,114.83,0,0,4,0
2024-05-31,Store-North-01,SKU-ELECTRONICS-01,83,114.83,0,0,4,0
2024-06-01,Store-North-01,SKU-ELECTRONICS-01,224,97.6,1,1,4,0
2024-06-02,Store-North-01,SKU-ELECTRONICS-01,0,97.6,1,1,4,1
2024-06-03,Store-North-01,SKU-ELECTRONICS-01,86,114.83,0,0,4,0
2024-06-04,Store-North-01,SKU-ELECTRONICS-01,87,114.83,0,0,4,0
2024-06-05,Store-North-01,SKU-ELECTRONICS-01,76,114.83,0,0,4,0
2024-06-06,Store-North-01,SKU-ELECTRONICS-01,93,114.83,0,0,4,0
2024-06-07,Store-North-01,SKU-ELECTRONICS-01,80,114.83,0,0,4,0
2024-06-08,Store-North-01,SKU-ELECTRONICS-01,116,114.83,0,1,4,0
2024-06-09,Store-North-01,SKU-ELECTRONICS-01,0,114.83,0,1,4,1
2024-06-10,Store-North-01,SKU-ELECTRONICS-01,151,97.6,1,0,4,0
2024-06-11,Store-North-01,SKU-ELECTRONICS-01,166,97.6,1,0,4,0
2024-06-12,Store-North-01,SKU-ELECTRONICS-01,81,114.83,0,0,4,0
2024-06-13,Store-North-01,SKU-ELECTRONICS-01,162,97.6,1,0,4,0
2024-06-14,Store-North-01,SKU-ELECTRONICS-01,93,114.83,0,0,4,0
2024-06-15,Store-North-01,SKU-ELECTRONICS-01,129,114.83,0,1,4,0
2024-06-16,Store-North-01,SKU-ELECTRONICS-01,110,114.83,0,1,4,0
2024-06-17,Store-North-01,SKU-ELECTRONICS-01,84,114.83,0,0,4,0
2024-06-18,Store-North-01,SKU-ELECTRONICS-01,79,114.83,0,0,4,0
2024-06-19,Store-North-01,SKU-ELECTRONICS-01,83,114.83,0,0,4,0
2024-06-20,Store-North-01,SKU-ELECTRONICS-01,87,114.83,0,0,4,0
2024-06-21,Store-North-01,SKU-ELECTRONICS-01,88,114.83,0,0,4,0
2024-06-22,Store-North-01,SKU-ELECTRONICS-01,116,114.83,0,1,4,0
2024-06-23,Store-North-01,SKU-ELECTRONICS-01,116,114.83,0,1,4,0
2024-06-24,Store-North-01,SKU-ELECTRONICS-01,147,97.6,1,0,4,0
2024-06-25,Store-North-01,SKU-ELECTRONICS-01,81,114.83,0,0,4,0
2024-06-26,Store-North-01,SKU-ELECTRONICS-01,88,114.83,0,0,4,0
2024-06-27,Store-North-01,SKU-ELECTRONICS-01,86,114.83,0,0,4,0
2024-06-28,Store-North-01,SKU-ELECTRONICS-01,75,114.83,0,0,4,0
2024-06-29,Store-North-01,SKU-ELECTRONICS-01,111,114.83,0,1,4,0
2024-06-30,Store-North-01,SKU-ELECTRONICS-01,182,97.6,1,1,4,0
2024-07-01,Store-North-01,SKU-ELECTRONICS-01,0,97.6,1,0,4,1
2024-07-02,Store-North-01,SKU-ELECTRONICS-01,86,114.83,0,0,4,0
2024-07-03,Store-North-01,SKU-ELECTRONICS-01,123,97.6,1,0,4,0
2024-07-04,Store-North-01,SKU-ELECTRONICS-01,70,114.83,0,0,4,0
2024-07-05,Store-North-01,SKU-ELECTRONICS-01,73,114.83,0,0,4,0
2024-07-06,Store-North-01,SKU-ELECTRONICS-01,100,114.83,0,1,4,0
2024-07-07,Store-North-01,SKU-ELECTRONICS-01,107,114.83,0,1,4,0
2024-07-08,Store-North-01,SKU-ELECTRONICS-01,92,114.83,0,0,4,0
2024-07-09,Store-North-01,SKU-ELECTRONICS-01,78,114.83,0,0,4,0
2024-07-10,Store-North-01,SKU-ELECTRONICS-01,0,114.83,0,0,4,1
2024-07-11,Store-North-01,SKU-ELECTRONICS-01,83,114.83,0,0,4,0
2024-07-12,Store-North-01,SKU-ELECTRONICS-01,74,114.83,0,0,4,0
2024-07-13,Store-North-01,SKU-ELECTRONICS-01,91,114.83,0,1,4,0
2024-07-14,Store-North-01,SKU-ELECTRONICS-01,98,114.83,0,1,4,0
2024-07-15,Store-North-01,SKU-ELECTRONICS-01,77,114.83,0,0,4,0
2024-07-16,Store-North-01,SKU-ELECTRONICS-01,68,114.83,0,0,4,0
2024-07-17,Store-North-01,SKU-ELECTRONICS-01,73,114.83,0,0,4,0
2024-07-18,Store-North-01,SKU-ELECTRONICS-01,126,97.6,1,0,4,0
2024-07-19,Store-North-01,SKU-ELECTRONICS-01,85,114.83,0,0,4,0
2024-07-20,Store-North-01,SKU-ELECTRONICS-01,95,114.83,0,1,4,0
2024-07-21,Store-North-01,SKU-ELECTRONICS-01,97,114.83,0,1,4,0
2024-07-22,Store-North-01,SKU-ELECTRONICS-01,84,114.83,0,0,4,0
2024-07-23,Store-North-01,SKU-ELECTRONICS-01,89,114.83,0,0,4,0
2024-07-24,Store-North-01,SKU-ELECTRONICS-01,57,114.83,0,0,4,0
2024-07-25,Store-North-01,SKU-ELECTRONICS-01,74,114.83,0,0,4,0
2024-07-26,Store-North-01,SKU-ELECTRONICS-01,66,114.83,0,0,4,0
2024-07-27,Store-North-01,SKU-ELECTRONICS-01,184,97.6,1,1,4,0
2024-07-28,Store-North-01,SKU-ELECTRONICS-01,106,114.83,0,1,4,0
2024-07-29,Store-North-01,SKU-ELECTRONICS-01,57,114.83,0,0,4,0
2024-07-30,Store-North-01,SKU-ELECTRONICS-01,60,114.83,0,0,4,0
2024-07-31,Store-North-01,SKU-ELECTRONICS-01,73,114.83,0,0,4,0
2024-08-01,Store-North-01,SKU-ELECTRONICS-01,66,114.83,0,0,4,0
2024-08-02,Store-North-01,SKU-ELECTRONICS-01,72,114.83,0,0,4,0
2024-08-03,Store-North-01,SKU-ELECTRONICS-01,91,114.83,0,1,4,0
2024-08-04,Store-North-01,SKU-ELECTRONICS-01,97,114.83,0,1,4,0
2024-08-05,Store-North-01,SKU-ELECTRONICS-01,61,114.83,0,0,4,0
2024-08-06,Store-North-01,SKU-ELECTRONICS-01,66,114.83,0,0,4,0
2024-08-07,Store-North-01,SKU-ELECTRONICS-01,73,114.83,0,0,4,0
2024-08-08,Store-North-01,SKU-ELECTRONICS-01,57,114.83,0,0,4,0
2024-08-09,Store-North-01,SKU-ELECTRONICS-01,130,97.6,1,0,4,0
2024-08-10,Store-North-01,SKU-ELECTRONICS-01,85,114.83,0,1,4,0
2024-08-11,Store-North-01,SKU-ELECTRONICS-01,81,114.83,0,1,4,0
2024-08-12,Store-North-01,SKU-ELECTRONICS-01,55,114.83,0,0,4,0
2024-08-13,Store-North-01,SKU-ELECTRONICS-01,60,114.83,0,0,4,0
2024-08-14,Store-North-01,SKU-ELECTRONICS-01,63,114.83,0,0,4,0
2024-08-15,Store-North-01,SKU-ELECTRONICS-01,145,97.6,1,0,4,0
2024-08-16,Store-North-01,SKU-ELECTRONICS-01,70,114.83,0,0,4,0
2024-08-17,Store-North-01,SKU-ELECTRONICS-01,157,97.6,1,1,4,0
2024-08-18,Store-North-01,SKU-ELECTRONICS-01,88,114.83,0,1,4,0
2024-08-19,Store-North-01,SKU-ELECTRONICS-01,61,114.83,0,0,4,0
2024-08-20,Store-North-01,SKU-ELECTRONICS-01,54,114.83,0,0,4,0
2024-08-21,Store-North-01,SKU-ELECTRONICS-01,67,114.83,0,0,4,0
2024-08-22,Store-North-01,SKU-ELECTRONICS-01,64,114.83,0,0,4,0
2024-08-23,Store-North-01,SKU-ELECTRONICS-01,60,114.83,0,0,4,0
2024-08-24,Store-North-01,SKU-ELECTRONICS-01,79,114.83,0,1,4,0
2024-08-25,Store-North-01,SKU-ELECTRONICS-01,85,114.83,0,1,4,0
2024-08-26,Store-North-01,SKU-ELECTRONICS-01,70,114.83,0,0,4,0
2024-08-27,Store-North-01,SKU-ELECTRONICS-01,57,114.83,0,0,4,0
2024-08-28,Store-North-01,SKU-ELECTRONICS-01,0,97.6,1,0,4,1
2024-08-29,Store-North-01,SKU-ELECTRONICS-01,60,114.83,0,0,4,0
2024-08-30,Store-North-01,SKU-ELECTRONICS-01,100,97.6,1,0,4,0
2024-08-31,Store-North-01,SKU-ELECTRONICS-01,140,97.6,1,1,4,0
2024-09-01,Store-North-01,SKU-ELECTRONICS-01,80,114.83,0,1,4,0
2024-09-02,Store-North-01,SKU-ELECTRONICS-01,89,97.6,1,0,4,0
2024-09-03,Store-North-01,SKU-ELECTRONICS-01,64,114.83,0,0,4,0
2024-09-04,Store-North-01,SKU-ELECTRONICS-01,67,114.83,0,0,4,0
2024-09-05,Store-North-01,SKU-ELECTRONICS-01,62,114.83,0,0,4,0
2024-09-06,Store-North-01,SKU-ELECTRONICS-01,50,114.83,0,0,4,0
2024-09-07,Store-North-01,SKU-ELECTRONICS-01,132,97.6,1,1,4,0
2024-09-08,Store-North-01,SKU-ELECTRONICS-01,84,114.83,0,1,4,0
2024-09-09,Store-North-01,SKU-ELECTRONICS-01,58,114.83,0,0,4,0
2024-09-10,Store-North-01,SKU-ELECTRONICS-01,66,114.83,0,0,4,0
2024-09-11,Store-North-01,SKU-ELECTRONICS-01,64,114.83,0,0,4,0
2024-09-12,Store-North-01,SKU-ELECTRONICS-01,54,114.83,0,0,4,0
2024-09-13,Store-North-01,SKU-ELECTRONICS-01,93,97.6,1,0,4,0
2024-09-14,Store-North-01,SKU-ELECTRONICS-01,66,114.83,0,1,4,0
2024-09-15,Store-North-01,SKU-ELECTRONICS-01,132,97.6,1,1,4,0
2024-09-16,Store-North-01,SKU-ELECTRONICS-01,64,114.83,0,0,4,0
2024-09-17,Store-North-01,SKU-ELECTRONICS-01,57,114.83,0,0,4,0
2024-09-18,Store-North-01,SKU-ELECTRONICS-01,54,114.83,0,0,4,0
